Méthode,Modèle,AUC,Précision Classe 0,Rappel Classe 0,F1-Score Classe 0,Précision Classe 1,Rappel Classe 1,F1-Score Classe 1
Original,XGBoost,0.953,0.929,0.867,0.897,0.915,0.956,0.935
Original,AdaBoost,0.923,0.926,0.833,0.877,0.896,0.956,0.925
Original,SVM,0.902,0.889,0.800,0.842,0.875,0.933,0.903
Original,Naive Bayes,0.837,0.882,0.500,0.638,0.741,0.956,0.835
SMOTE,XGBoost,0.947,0.929,0.867,0.897,0.915,0.956,0.935
SMOTE,AdaBoost,0.929,0.897,0.867,0.881,0.913,0.933,0.923
SMOTE,SVM,0.905,0.889,0.800,0.842,0.875,0.933,0.903
SMOTE,Naive Bayes,0.839,0.895,0.567,0.694,0.768,0.956,0.851
ADASYN,XGBoost,0.950,0.867,0.867,0.867,0.911,0.911,0.911
ADASYN,AdaBoost,0.926,0.867,0.867,0.867,0.911,0.911,0.911
ADASYN,SVM,0.899,0.828,0.800,0.814,0.870,0.889,0.879
ADASYN,Naive Bayes,0.846,0.900,0.600,0.720,0.782,0.956,0.860
